WISE Name,Catalog,GLong<br>(deg.),GLat<br>(deg.),Radius<br>(arcsec.),HII Region,Membership,VLSR<br>(km/s),Author,VLSR (Mol.)<br>(km/s),Molecule,KDAR,Dist.<br>(kpc),Err Dist.<br>(kpc),Dist. Method,RGal<br>(kpc),z<br>(pc),GLIMPSE 8um<br>(Jy),WISE 12um<br>(Jy),WISE 22um<br>(Jy),MIPSGAL 24um<br>(Jy),Hi-Gal 70um<br>(Jy),Hi-Gal 160um<br>(Jy),HRDS 3cm<br>(Jy),MAGPIS 20cm<br>(Jy),VGPS 21cm<br>(Jy)
G000.120-00.556,K,0.120,-0.556,360,S19,,15.5,Anderson et al. (2017),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.120-00.633,Q,0.121,-0.632,93,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.121-00.304,Q,0.122,-0.304,37,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.125-00.086,C,0.126,-0.086,29,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.129-00.674,Q,0.129,-0.673,51,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.132+00.039,C,0.132,0.040,299,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.138-00.115,Q,0.139,-0.114,363,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.158-00.065,C,0.159,-0.065,34,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.170+00.153,C,0.170,0.153,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.176-00.062,C,0.177,-0.062,95,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.197-00.007,C,0.197,-0.006,24,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.199-00.512,Q,0.200,-0.512,17,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.208-00.002,C,0.209,-0.002,26,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.227-00.502,Q,0.228,-0.502,72,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.279-00.059,C,0.279,-0.058,191,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.279-00.482,K,0.279,-0.482,60,G000.284-00.478,,20.0,Downes et al. (1980),18.5,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.298-01.051,Q,0.298,-1.050,230,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.314-00.194,K,0.314,-0.194,26,S20,,9.6,"Fich, Dahl, Treffers (1990)",18.7,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.314-00.205,K,0.315,-0.204,42,S20,,9.6,"Fich, Dahl, Treffers (1990)",18.7,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.316-00.149,Q,0.316,-0.149,37,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.319-00.119,C,0.319,-0.119,27,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.320-00.215,K,0.321,-0.215,260,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.328-00.804,K,0.329,-0.803,234,G000.361-00.780,G000.361-00.780,20.0,Downes et al. (1980),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.331-00.065,C,0.331,-0.064,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.335-00.016,K,0.335,-0.015,42,G000.335-00.015,,14.0,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,2002.03,0.00,0.00
G000.346-00.028,C,0.347,-0.027,27,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.352-00.020,C,0.353,-0.019,29,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.360-00.141,C,0.361,-0.140,20,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.382+00.017,K,0.382,0.017,67,G000.382+00.017a,,25.7;41.4,Anderson et al. (2011),84.4,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,1512.90,0.00,0.00
G000.394-00.132,Q,0.395,-0.131,28,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.397-00.091,Q,0.398,-0.091,22,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.401+00.408,Q,0.402,0.409,20,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.408-00.881,Q,0.408,-0.881,139,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.410-00.778,Q,0.410,-0.778,137,,G000.361-00.780,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.411-00.060,Q,0.411,-0.059,17,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.414-00.021,C,0.415,-0.021,38,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.418-00.081,Q,0.418,-0.081,22,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.421-00.555,G,0.421,-0.554,72,,G000.394-00.540,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.436-00.084,Q,0.437,-0.084,41,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.452-00.904,Q,0.453,-0.903,51,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.455-00.476,K,0.456,-0.475,677,G000.394-00.540,G000.394-00.540,24.0,Downes et al. (1980),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.456-00.808,Q,0.456,-0.808,149,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.460-00.048,C,0.461,-0.048,21,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.471-00.055,C,0.472,-0.055,43,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.475-00.675,K,0.476,-0.674,54,G000.489-00.668,,17.5,Downes et al. (1980),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.477-00.130,Q,0.477,-0.130,111,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.479+00.072,C,0.480,0.072,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.484-00.900,Q,0.484,-0.899,27,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.486+00.201,Q,0.487,0.201,12,,G000.492+00.192,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.490-00.074,G,0.490,-0.074,42,,G000.510-00.051; Sgr B1,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.492+00.191,K,0.492,0.192,42,G000.492+00.192,G000.492+00.192,-7.5,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,604.03,0.00,0.00
G000.496-00.828,Q,0.497,-0.827,16,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.497+00.159,C,0.497,0.159,60,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.498-00.678,K,0.498,-0.678,54,G000.489-00.668,,17.5,Downes et al. (1980),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.501+00.190,Q,0.501,0.191,12,,G000.492+00.192,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.504-00.789,Q,0.504,-0.789,35,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.519+00.177,Q,0.519,0.177,8,,,,,-3.8,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.519-00.051,K,0.520,-0.051,208,G000.510-00.051; Sgr B1,G000.510-00.051; Sgr B1,45.0,Downes et al. (1980),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.520+00.195,Q,0.521,0.196,16,,,,,-3.8,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.522-00.011,C,0.523,-0.011,27,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.523+00.168,Q,0.524,0.169,9,,,,,-3.8,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.525+00.190,Q,0.525,0.191,9,,,,,-3.8,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.528+00.180,K,0.528,0.181,25,G000.521+00.178,G000.521+00.178,-2.3,"Lockman, Pisano, Howard (1996)",-3.8,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.529-00.107,C,0.530,-0.106,27,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.530+00.131,C,0.530,0.132,50,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.530-00.156,Q,0.530,-0.156,29,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.533-00.082,G,0.533,-0.082,66,,G000.510-00.051; Sgr B1,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.534+00.168,G,0.535,0.169,31,,G000.521+00.178,,,-3.8,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.541-00.046,Q,0.541,-0.046,20,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.544-00.227,Q,0.544,-0.226,128,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.547-00.060,C,0.547,-0.060,20,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.548-00.852,G,0.548,-0.851,28,,G000.583-00.870,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.548-00.836,G,0.549,-0.835,41,,G000.583-00.870,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.551+00.060,C,0.551,0.060,90,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.557-00.079,Q,0.557,-0.079,20,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.563-00.852,G,0.563,-0.852,35,,G000.583-00.870,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.563-00.037,C,0.564,-0.037,23,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.563-00.824,G,0.564,-0.823,39,,G000.583-00.870,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.567-00.097,Q,0.567,-0.097,20,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.574+00.128,Q,0.574,0.129,19,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.579-00.045,C,0.579,-0.045,24,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.583-00.871,K,0.584,-0.871,79,G000.583-00.870,G000.583-00.870,14.2,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,1121.93,0.00,0.00
G000.586-00.127,C,0.587,-0.127,15,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.587-00.086,Q,0.587,-0.086,28,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.591+00.050,C,0.592,0.051,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.593-00.047,C,0.593,-0.046,92,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.595-00.618,K,0.596,-0.617,215,G000.572-00.628,,20.0,Downes et al. (1980),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.596-00.171,Q,0.596,-0.171,16,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.599-00.049,K,0.600,-0.048,19,FQ104; Sgr B1,,53.1,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,12091.10,0.00,0.00
G000.600-00.121,Q,0.600,-0.121,11,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.601-00.069,C,0.602,-0.069,22,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.602-00.051,K,0.602,-0.051,18,FQ104; Sgr B1,,53.1,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,12091.10,0.00,0.00
G000.602+00.333,K,0.603,0.334,83,G000.605+00.329,,-2.9,Quireza et al. (2006),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.605-00.202,C,0.606,-0.202,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.616-00.052,C,0.616,-0.051,21,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.624-00.046,C,0.625,-0.046,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.630-00.027,K,0.630,-0.027,42,G000.630-00.027,,90.6;51.3;136.2,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,5146.88,0.00,0.00
G000.638-00.115,K,0.639,-0.114,49,FA224; Sgr B2,,70.4;24.9;96.7,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,2831.75,0.00,0.00
G000.649-00.080,K,0.649,-0.080,95,G000.665-00.035; Sgr B2,G000.665-00.035; Sgr B2,64.3,Quireza et al. (2006),,,,07.8,00.7,Parallax,00.8,-010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.657-00.041,G,0.657,-0.041,24,,G000.665-00.035; Sgr B2,,,50.8;81.6,CS,,07.8,00.7,Parallax,00.8,-005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.660-00.052,Q,0.660,-0.052,14,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.666-00.036,G,0.666,-0.036,16,Sgr B2,G000.665-00.035; Sgr B2,,,50.8;81.6,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.666-00.051,G,0.666,-0.050,19,,G000.665-00.035; Sgr B2,,,50.8;81.6,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.668+00.641,K,0.669,0.642,343,G000.640+00.623,,3.7,"Lockman, Pisano, Howard (1996)",,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.670-00.043,G,0.670,-0.042,14,,FQ110; Sgr B2,,,50.8;81.6,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.670-00.035,K,0.670,-0.034,19,G000.670-00.034,,64.8,Anderson et al. (2015b),50.8;81.6,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,28326.80,0.00,0.00
G000.674+00.083,C,0.675,0.083,61,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.676-00.043,G,0.676,-0.042,13,,FQ110; Sgr B2,,,50.8;81.6,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.681-00.064,C,0.681,-0.064,31,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.681-00.035,K,0.682,-0.035,27,FQ110; Sgr B2,FQ110; Sgr B2,66.4,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,26717.40,0.00,0.00
G000.692-00.047,K,0.692,-0.046,25,FA229; Sgr B2,,60.0,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,8645.96,0.00,0.00
G000.697-00.053,K,0.698,-0.053,25,FA229; Sgr B2,,60.0,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,8645.96,0.00,0.00
G000.711-00.039,C,0.712,-0.039,26,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.719+00.029,C,0.720,0.029,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.729-00.103,K,0.729,-0.103,72,G000.729-00.103a,,105.3;83.2,Anderson et al. (2011),,,,08.5,,Nuclear Disk,00.1,-015,0.00,0.00,0.00,0.00,0.00,0.00,2130.60,0.00,0.00
G000.755-00.027,Q,0.756,-0.026,36,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.775-00.087,Q,0.775,-0.086,43,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.800+00.010,C,0.801,0.010,61,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.801+00.205,Q,0.802,0.206,39,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.820-00.254,C,0.821,-0.254,40,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.829+00.198,K,0.829,0.199,190,G000.838+00.189,,5.6,Anderson et al. (2011),5.4,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,1175.87,0.00,0.00
G000.834-00.457,Q,0.835,-0.457,454,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.843-00.106,C,0.843,-0.106,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.929-00.520,Q,0.930,-0.519,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.930-00.235,Q,0.931,-0.234,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G000.957-00.234,Q,0.958,-0.233,36,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.005-00.236,K,1.005,-0.236,50,G001.005-00.236,,2.5,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,809.12,0.00,0.00
G001.011-00.217,Q,1.011,-0.216,37,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.050+00.007,Q,1.051,0.007,91,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.055-00.154,K,1.056,-0.153,126,G001.056-00.153,,-14.3,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,1295.73,0.00,0.00
G001.061-00.235,Q,1.061,-0.234,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.099-00.090,Q,1.099,-0.089,30,,G001.119-00.098; Sgr D,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.114-00.114,Q,1.114,-0.114,20,,G001.119-00.098; Sgr D,,,-15.6,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.119-00.266,Q,1.119,-0.266,221,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.125-00.106,K,1.125,-0.105,60,G001.119-00.098; Sgr D,G001.119-00.098; Sgr D,-19.9,Quireza et al. (2006),-15.6,CS,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.138+00.807,K,1.138,0.808,37,G001.138+00.808,,-8.5,Anderson et al. (2015b),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,82.91,0.00,0.00
G001.157+00.064,Q,1.157,0.065,25,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.218-00.034,K,1.219,-0.034,611,G001.149-00.062; Sgr D,,-17.0,Downes et al. (1980),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.321+00.101,K,1.322,0.102,58,G001.324+00.104,,-12.7,Anderson et al. (2011),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,1034.64,0.00,0.00
G001.330+00.088,K,1.330,0.088,42,G001.330+00.088,,-13.2,Anderson et al. (2011),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,990.78,0.00,0.00
G001.330+00.145,K,1.331,0.146,78,G001.330+00.150,G001.330+00.150,-20.1,Anderson et al. (2011),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,133.53,0.00,0.00
G001.362+00.118,Q,1.363,0.119,70,,G001.330+00.150,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.488-00.199,K,1.488,-0.199,42,G001.488-00.199,,-2.2,Anderson et al. (2011),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,222.78,0.00,0.00
G001.662-00.272,Q,1.663,-0.271,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.679-00.028,Q,1.680,-0.027,65,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.772+00.633,Q,1.772,0.634,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.813-00.137,Q,1.813,-0.136,38,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.863-00.380,C,1.863,-0.379,57,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.912-00.273,Q,1.912,-0.272,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.935-00.376,Q,1.936,-0.375,21,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.939-00.311,Q,1.939,-0.310,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.975+00.172,Q,1.975,0.173,75,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.978-00.333,Q,1.978,-0.333,40,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G001.989-00.678,Q,1.990,-0.677,19,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G002.009-00.680,K,2.009,-0.680,42,G002.009-00.680,,18.2,Anderson et al. (2011),,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,156.81,0.00,0.00
G002.084-00.578,Q,2.084,-0.578,22,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G002.087-00.149,Q,2.087,-0.148,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
